Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
314004824;2022-06-09 03:00:00;0.13;R;16;R
315107746;2022-06-09 03:00:00;0.53;R;16;R
314004824;2022-06-09 04:00:00;0.12;R;16;R
315107746;2022-06-09 04:00:00;0.0;R;16;R
314004824;2022-06-09 05:00:00;0.08;R;15;R
315107746;2022-06-09 05:00:00;0.0;R;15;R
314004824;2022-06-09 06:00:00;0.15;R;14;R
315107746;2022-06-09 06:00:00;0.0;R;14;R
314004824;2022-06-09 07:00:00;0.18;R;14;R
315107746;2022-06-09 07:00:00;0.0;R;14;R
315107746;2022-06-09 08:00:00;0.0;R;14;R
314004824;2022-06-09 08:00:00;0.1;R;14;R
315107746;2022-06-09 09:00:00;0.0;R;14;R
314004824;2022-06-09 09:00:00;0.14;R;14;R
315107746;2022-06-09 10:00:00;0.0;R;15;R
314004824;2022-06-09 10:00:00;0.09;R;15;R
314004824;2022-06-09 11:00:00;0.23;R;15;R
315107746;2022-06-09 11:00:00;0.0;R;15;R
315107746;2022-06-09 12:00:00;0.0;R;15;R
314004824;2022-06-09 12:00:00;0.11;R;15;R
314004824;2022-06-09 13:00:00;0.14;R;15;R
315107746;2022-06-09 13:00:00;0.0;R;15;R
314004824;2022-06-09 14:00:00;0.07;R;16;R
315107746;2022-06-09 14:00:00;0.0;R;16;R
315107746;2022-06-09 15:00:00;0.11;R;16;R
314004824;2022-06-09 15:00:00;0.14;R;16;R
315107746;2022-06-09 16:00:00;0.54;R;17;R
314004824;2022-06-09 16:00:00;0.11;R;17;R
314004824;2022-06-09 17:00:00;0.1;R;17;R
315107746;2022-06-09 17:00:00;0.0;R;17;R
315107746;2022-06-09 18:00:00;0.0;R;15;R
314004824;2022-06-09 18:00:00;0.2;R;15;R
314004824;2022-06-09 19:00:00;0.17;R;16;R
315107746;2022-06-09 19:00:00;0.0;R;16;R
314004824;2022-06-09 20:00:00;0.2;R;15;R
315107746;2022-06-09 20:00:00;0.0;R;15;R
314004824;2022-06-09 21:00:00;0.15;R;15;R
315107746;2022-06-09 21:00:00;0.0;R;15;R
314004824;2022-06-09 22:00:00;0.18;R;14;R
315107746;2022-06-09 22:00:00;0.0;R;14;R
315107746;2022-06-09 23:00:00;0.0;R;14;R
314004824;2022-06-09 23:00:00;0.2;R;14;R
315107746;2022-06-10 00:00:00;0.0;R;14;R
314004824;2022-06-10 00:00:00;0.09;R;14;R
314004824;2022-06-10 01:00:00;0.11;R;14;R
315107746;2022-06-10 01:00:00;0.0;R;14;R
315107746;2022-06-10 02:00:00;0.0;R;14;R
314004824;2022-06-10 02:00:00;0.12;R;14;R
314004824;2022-06-10 03:00:00;0.08;R;14;R
315107746;2022-06-10 03:00:00;0.74;R;14;R
314004824;2022-06-10 04:00:00;0.1;R;14;R
315107746;2022-06-10 04:00:00;0.0;R;14;R
315107746;2022-06-10 05:00:00;0.0;R;14;R
