Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
0315107746;2023-02-13 04:00:00;1,16;R;-4;R
0315107746;2023-02-13 03:00:00;1,55;R;-5;R
0315107746;2023-02-13 02:00:00;0,82;R;-5;R
0315107746;2023-02-13 01:00:00;0,85;R;-4;R
0315107746;2023-02-13 00:00:00;0,48;R;-4;R
0315107746;2023-02-12 23:00:00;1,13;R;-3;R
0315107746;2023-02-12 22:00:00;3,50;R;-2;R
0315107746;2023-02-12 21:00:00;2,15;R;-1;R
0315107746;2023-02-12 20:00:00;1,55;R;0;R
0315107746;2023-02-12 19:00:00;0,55;R;1;R
0315107746;2023-02-12 18:00:00;0,59;R;1;R
0315107746;2023-02-12 17:00:00;0,64;R;1;R
0315107746;2023-02-12 16:00:00;0,53;R;1;R
0315107746;2023-02-12 15:00:00;0,70;R;1;R
0315107746;2023-02-12 14:00:00;1,87;R;1;R
0315107746;2023-02-12 13:00:00;0,96;R;1;R
0315107746;2023-02-12 12:00:00;0,49;R;1;R
0315107746;2023-02-12 11:00:00;0,51;R;1;R
0315107746;2023-02-12 10:00:00;0,63;R;1;R
0315107746;2023-02-12 09:00:00;0,52;R;0;R
0315107746;2023-02-12 08:00:00;0,98;R;0;R
0315107746;2023-02-12 07:00:00;0,69;R;-1;R
0315107746;2023-02-12 06:00:00;1,25;R;-1;R
0315107746;2023-02-12 05:00:00;1,24;R;-1;R
0315107746;2023-02-12 04:00:00;0,63;R;-2;R
0315107746;2023-02-12 03:00:00;0,51;R;-2;R
0315107746;2023-02-12 02:00:00;0,55;R;-2;R
0315107746;2023-02-12 01:00:00;1,13;R;-2;R
0315107746;2023-02-12 00:00:00;0,58;R;-2;R
0315107746;2023-02-11 23:00:00;2,18;R;-2;R
0315107746;2023-02-11 22:00:00;3,79;R;-2;R
0315107746;2023-02-11 21:00:00;3,82;R;-2;R
0315107746;2023-02-11 20:00:00;3,16;R;-1;R
0315107746;2023-02-11 19:00:00;1,63;R;-2;R
0315107746;2023-02-11 18:00:00;0,59;R;-2;R
0315107746;2023-02-11 17:00:00;0,92;R;-3;R
0315107746;2023-02-11 16:00:00;0,51;R;-3;R
0315107746;2023-02-11 15:00:00;0,58;R;-3;R
0315107746;2023-02-11 14:00:00;1,47;R;-3;R
0315107746;2023-02-11 13:00:00;1,32;R;-3;R
0315107746;2023-02-11 12:00:00;0,41;R;-4;R
0315107746;2023-02-11 11:00:00;0,72;R;-4;R
0315107746;2023-02-11 10:00:00;0,70;R;-4;R
0315107746;2023-02-11 09:00:00;1,11;R;-5;R
0315107746;2023-02-11 08:00:00;0,53;R;-6;R
0315107746;2023-02-11 07:00:00;0,63;R;-8;R
0315107746;2023-02-11 06:00:00;1,32;R;-7;R
0315107746;2023-02-11 05:00:00;1,48;R;-6;R
0315107746;2023-02-11 04:00:00;0,57;R;-5;R
0315107746;2023-02-11 03:00:00;0,89;R;-4;R
0315107746;2023-02-11 02:00:00;0,42;R;-3;R
0315107746;2023-02-11 01:00:00;2,08;R;-3;R
0315107746;2023-02-11 00:00:00;2,81;R;-3;R
0315107746;2023-02-10 23:00:00;3,35;R;-3;R
0315107746;2023-02-10 22:00:00;1,68;R;-2;R
0315107746;2023-02-10 21:00:00;0,76;R;-2;R
0315107746;2023-02-10 20:00:00;1,07;R;-1;R
0315107746;2023-02-10 19:00:00;1,26;R;0;R
0315107746;2023-02-10 18:00:00;0,71;R;1;R
0315107746;2023-02-10 17:00:00;0,77;R;1;R
0315107746;2023-02-10 16:00:00;0,64;R;2;R
0315107746;2023-02-10 15:00:00;0,61;R;2;R
0315107746;2023-02-10 14:00:00;0,47;R;2;R
0315107746;2023-02-10 13:00:00;0,51;R;3;R
0315107746;2023-02-10 12:00:00;0,85;R;3;R
0315107746;2023-02-10 11:00:00;0,44;R;3;R
0315107746;2023-02-10 10:00:00;0,53;R;3;R
0315107746;2023-02-10 09:00:00;0,45;R;3;R
0315107746;2023-02-10 08:00:00;0,97;R;4;R
0315107746;2023-02-10 07:00:00;0,47;R;4;R
0315107746;2023-02-10 06:00:00;0,46;R;4;R
0315107746;2023-02-10 05:00:00;1,16;R;5;R
0315107746;2023-02-10 04:00:00;1,47;R;2;R
0315107746;2023-02-10 03:00:00;0,76;R;0;R
0315107746;2023-02-10 02:00:00;0,96;R;1;R
0315107746;2023-02-10 01:00:00;0,44;R;1;R
0315107746;2023-02-10 00:00:00;2,76;R;1;R
0315107746;2023-02-09 23:00:00;2,40;R;0;R
0315107746;2023-02-09 22:00:00;2,32;R;1;R
0315107746;2023-02-09 21:00:00;2,56;R;2;R
0315107746;2023-02-09 20:00:00;0,62;R;2;R
0315107746;2023-02-09 19:00:00;0,70;R;1;R
0315107746;2023-02-09 18:00:00;0,61;R;1;R
0315107746;2023-02-09 17:00:00;1,17;R;1;R
0315107746;2023-02-09 16:00:00;0,63;R;1;R
0315107746;2023-02-09 15:00:00;0,63;R;0;R
0315107746;2023-02-09 14:00:00;0,65;R;1;R
0315107746;2023-02-09 13:00:00;2,18;R;1;R
0315107746;2023-02-09 12:00:00;0,63;R;1;R
0315107746;2023-02-09 11:00:00;0,49;R;1;R
0315107746;2023-02-09 10:00:00;0,95;R;1;R
0315107746;2023-02-09 09:00:00;0,61;R;0;R
0315107746;2023-02-09 08:00:00;1,05;R;-2;R
0315107746;2023-02-09 07:00:00;1,40;R;-5;R
0315107746;2023-02-09 06:00:00;0,79;R;-6;R
0315107746;2023-02-09 05:00:00;0,47;R;-5;R
0315107746;2023-02-09 04:00:00;0,42;R;-6;R
0315107746;2023-02-09 03:00:00;0,88;R;-4;R
0315107746;2023-02-09 02:00:00;0,44;R;-2;R
0315107746;2023-02-09 01:00:00;0,60;R;-2;R
0315107746;2023-02-09 00:00:00;3,54;R;-3;R
0315107746;2023-02-08 23:00:00;0,98;R;-2;R
0315107746;2023-02-08 22:00:00;0,41;R;-1;R
0315107746;2023-02-08 21:00:00;0,59;R;1;R
0315107746;2023-02-08 20:00:00;0,65;R;1;R
0315107746;2023-02-08 19:00:00;0,60;R;2;R
0315107746;2023-02-08 18:00:00;0,60;R;3;R
0315107746;2023-02-08 17:00:00;0,73;R;3;R
0315107746;2023-02-08 16:00:00;0,68;R;3;R
0315107746;2023-02-08 15:00:00;0,90;R;4;R
0315107746;2023-02-08 14:00:00;0,43;R;4;R
0315107746;2023-02-08 13:00:00;0,60;R;4;R
0315107746;2023-02-08 12:00:00;2,14;R;3;R
0315107746;2023-02-08 11:00:00;2,24;R;3;R
0315107746;2023-02-08 10:00:00;4,09;R;3;R
0315107746;2023-02-08 09:00:00;0,86;R;3;R
0315107746;2023-02-08 08:00:00;0,78;R;2;R
0315107746;2023-02-08 07:00:00;0,57;R;2;R
0315107746;2023-02-08 06:00:00;0,55;R;2;R
0315107746;2023-02-08 05:00:00;0,57;R;2;R
0315107746;2023-02-08 04:00:00;1,03;R;1;R
0315107746;2023-02-08 03:00:00;1,91;R;0;R
0315107746;2023-02-08 02:00:00;1,16;R;0;R
0315107746;2023-02-08 01:00:00;0,76;R;1;R
0315107746;2023-02-08 00:00:00;2,59;R;0;R
